,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati,Brajrajnagar,Talcher,Kolkata,Guwahati,Coimbatore,Shillong,Chandigarh,Bhopal,Ernakulam,Kochi,Aizawl
2018-08-03,Severe,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Very Poor,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,,,,,,,,
2018-08-04,Severe,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Very Poor,Moderate,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,,,,,,,,
2018-08-05,Very Poor,Satisfactory,Moderate,Poor,Poor,Satisfactory,Satisfactory,Moderate,Very Poor,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,,,,,,,,
2018-08-06,Severe,Satisfactory,Moderate,Moderate,Poor,Satisfactory,Satisfactory,Moderate,Poor,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,,Moderate,Moderate,Satisfactory,,,,,,,,
2018-08-07,Severe,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Good,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,,,,,,,,
2018-08-08,Severe,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Moderate,Moderate,Satisfactory,Good,Good,Satisfactory,Satisfactory,,,,,,,,
2018-08-09,Severe,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,Satisfactory,Good,Moderate,Satisfactory,Satisfactory,Good,Good,,Satisfactory,,,,,,,,
2018-08-10,Severe,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Good,Moderate,Satisfactory,Moderate,Good,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,,Satisfactory,,,,,,,,
2018-08-11,Severe,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Good,Moderate,Satisfactory,Satisfactory,Good,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,,Satisfactory,,,,,,,,
2018-08-12,Severe,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Moderate,Moderate,Satisfactory,Good,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,,Satisfactory,,,,,,,,
2018-08-13,Severe,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Good,Moderate,Moderate,,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,Satisfactory,,,,,,,,
2018-08-14,Severe,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Good,Moderate,Moderate,,Good,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,,,,,,,,
2018-08-15,Severe,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,,,Moderate,Moderate,Satisfactory,Satisfactory,Good,Moderate,Satisfactory,,,,,,,,
2018-08-16,Very Poor,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,,,Satisfactory,Moderate,Moderate,Satisfactory,Good,Moderate,Satisfactory,,,,,,,,
2018-08-17,Very Poor,Good,Satisfactory,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,Satisfactory,,Moderate,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,,,,,,,,
2018-08-18,Severe,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Good,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,Satisfactory,,,,,,,,
2018-08-19,Severe,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Good,Moderate,Satisfactory,Satisfactory,Good,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,Satisfactory,,,,,,,,
2018-08-20,Severe,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,,Satisfactory,Moderate,Satisfactory,Satisfactory,,Satisfactory,,Satisfactory,,,,,,,,
2018-08-21,Severe,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Satisfactory,Good,Poor,Satisfactory,Moderate,Moderate,Good,Moderate,Satisfactory,,,,,,,,
2018-08-22,Severe,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Moderate,Satisfactory,,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,,,,,,,,
2018-08-23,Severe,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Moderate,Satisfactory,Satisfactory,Good,Moderate,Satisfactory,Satisfactory,,Satisfactory,Moderate,Satisfactory,,,,,,,,
2018-08-24,Severe,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Moderate,Satisfactory,Satisfactory,Good,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,,,,,,,
2018-08-25,Severe,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,,,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,Satisfactory,,,,,,,,
2018-08-26,Severe,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Good,Moderate,Satisfactory,,,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,,Satisfactory,,,,,,,,
2018-08-27,Severe,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Good,Satisfactory,Satisfactory,,,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,,Satisfactory,,,,,,,,
2018-08-28,Severe,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Satisfactory,Moderate,,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,,Satisfactory,,,,,,,,
2018-08-29,Severe,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,Satisfactory,,,,,,,,
2018-08-30,Severe,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,,Satisfactory,,,,,,,,
2018-08-31,Severe,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,,,Satisfactory,,,,,,,,
2018-09-01,Severe,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,,,Satisfactory,,,,,,,,
2018-09-02,Severe,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,,Satisfactory,,Moderate,Satisfactory,Satisfactory,Satisfactory,,,Satisfactory,,,,,,,,
2018-09-03,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,,Satisfactory,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,,Satisfactory,,,,,,,,
2018-09-04,,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Good,Satisfactory,,Moderate,Good,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,,Satisfactory,,,,,,,,
2018-09-05,,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Moderate,,,Satisfactory,,,,,,,,
2018-09-06,Severe,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Moderate,Moderate,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,,,Satisfactory,,,,,,,,
2018-09-07,Severe,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,,Satisfactory,,,,,,,,
2018-09-08,Severe,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Good,Satisfactory,Satisfactory,Satisfactory,Moderate,,,Satisfactory,,,,,,,,
2018-09-09,Severe,Satisfactory,Moderate,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Satisfactory,Moderate,Good,,Satisfactory,Satisfactory,Satisfactory,,,Satisfactory,,,,,,,,
2018-09-10,Severe,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Moderate,Good,Moderate,Good,,Satisfactory,,,,,Satisfactory,,,,,,,,
2018-09-11,Severe,Satisfactory,Satisfactory,Satisfactory,Moderate,Moderate,Satisfactory,Satisfactory,Satisfactory,Moderate,Good,,Satisfactory,Satisfactory,Satisfactory,,,Satisfactory,,,,,,,,
