Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Visakhapatnam,Amritsar,Jaipur,Thiruvananthapuram,Amaravati
2018-01-25,64.75,104.38,40.74,50.77,23.83,17.795,14.09,38.27,7.65,23.45
2018-01-26,57.65,119.36,44.28,46.37,24.19,17.1075,14.09,38.66,6.62,26.0
2018-01-27,57.83,101.14,46.22,45.36,26.28,16.42,12.37,42.02,7.78,26.3
2018-01-28,58.16,119.98,45.66,42.65,25.13,17.95,13.71,40.31,6.94,22.05
2018-01-29,60.91,111.87,44.78,41.63,23.34,17.01,14.12,34.48,5.49,20.24
2018-01-30,70.16,122.94,38.68,44.78,20.35,16.09,17.18,35.15,6.18,21.73
2018-01-31,73.36,97.57,39.32,54.0,20.39,16.16,16.33,23.28,5.91,19.74
2018-02-01,81.64,86.28,46.95,55.29,24.5,14.09,16.33,28.1,5.89,19.42
2018-02-02,75.97,97.64,52.36,52.78,21.65,14.98,15.06,28.86,3.97,19.89
2018-02-03,75.86,82.28,46.26,40.78,20.36,16.54,15.15,23.2,8.29,23.31
2018-02-04,60.26,111.54,45.13,53.87,22.91,15.52,14.1,20.12,7.38,11.19
2018-02-05,74.39,113.67,45.41,53.55,25.26,16.39,9.31,18.66,6.82,13.4
2018-02-06,83.02,98.59,44.96,55.88,23.0,19.37,4.74,18.89,5.81,17.9
2018-02-07,89.31,123.21,43.31,54.95,24.6,18.36,3.53,19.11,4.84,11.05
2018-02-08,94.19,105.14,47.89,53.47,28.79,16.05,4.75,18.18,4.22,13.02
2018-02-09,98.39,105.71,49.6,53.26,35.08,13.87,4.9,17.2,4.92,12.32
2018-02-10,90.65,104.86,47.52,51.39,37.24,13.99,12.93,13.4,5.96,11.9
2018-02-11,62.54,117.81,51.43,51.52,27.82,11.54,16.18,12.94,5.38,13.05
2018-02-12,,115.09,46.64,63.55,27.37,0.23,14.94,11.33,5.45,11.94
2018-02-13,,98.89,50.89,63.85,54.44,0.26,12.94,22.27,8.94,11.99
2018-02-14,,111.03,40.88,57.59,35.31,1.42,13.41,12.66,8.47,10.89
2018-02-15,,93.85,44.48,56.2,23.72,2.05,13.14,13.95,7.17,20.24
2018-02-16,,113.45,49.81,63.7,20.48,0.98,13.4,19.48,6.63,33.72
2018-02-17,,114.38,49.73,54.65,20.36,0.15,10.71,19.8,6.34,22.52
2018-02-18,,106.9,45.32,54.24,21.29,0.19,11.03,22.7,6.59,24.68
2018-02-19,,99.43,46.22,44.14,20.45,0.24,11.08,23.01,7.78,22.79
2018-02-20,,107.66,49.25,42.51,20.08,4.64,10.95,26.91,7.37,23.18
2018-02-21,,99.2,49.47,37.55,20.29,11.02,10.82,35.53,7.39,19.54
2018-02-22,,98.69,55.72,42.25,18.86,11.49,11.57,44.82,7.27,18.13
2018-02-23,,90.07,59.64,39.33,18.56,12.7,11.79,38.87,6.86,16.57
2018-02-24,,112.82,62.61,43.39,17.34,16.13,11.45,36.05,8.57,20.46
2018-02-25,,97.94,50.57,47.51,18.26,19.18,10.845,26.34,8.315000000000001,16.35
2018-02-26,,100.03,41.83,49.33,19.58,19.85,10.24,26.92,8.06,15.88
2018-02-27,,111.54,43.85,48.61,19.27,16.1,10.57,26.69,7.58,18.5
2018-02-28,,110.95,53.64,47.4,22.7,15.15,10.55,26.86,6.49,22.46
2018-03-01,,105.03,49.29,45.88,21.27,15.32,10.5,24.35,6.34,19.27
2018-03-02,,96.9,48.86,44.09,21.27,15.31,10.14,25.44,5.54,14.52
2018-03-03,,96.52,44.26,44.07,23.4,13.23,10.21,28.59,5.51,12.72
2018-03-04,,82.41,39.35,43.18,20.81,10.22,9.78,33.53,6.03,12.41
2018-03-05,,95.51,38.32,43.88,20.49,12.15,8.68,27.62,7.11,12.52
2018-03-06,,70.36,34.56,44.73,19.42,12.89,7.06,26.16,6.97,14.03
2018-03-07,,71.38,36.46,43.72,21.37,18.27,7.05,27.31,6.99,14.15
2018-03-08,,29.09,43.35,41.16,22.9,16.02,7.13,23.28,5.51,14.0
2018-03-09,,24.26,46.02,42.61,21.26,15.28,7.18,23.9,6.04,16.53
2018-03-10,,24.08,39.35,43.44,23.5,15.37,7.76,20.44,5.68,14.09
2018-03-11,,28.13,39.62,43.47,19.08,12.73,7.97,23.44,5.21,13.51
2018-03-12,,32.54,42.8,43.39,17.31,12.37,7.78,25.5,4.27,12.65
2018-03-13,,32.28,42.23,44.14,18.14,10.16,8.69,23.49,3.63,11.64
2018-03-14,,43.52,40.47,43.37,19.71,10.12,9.31,20.16,4.69,14.1
2018-03-15,,22.56,43.23,44.21,19.38,10.74,8.26,23.55,4.97,10.74
2018-03-16,,25.11,42.2,44.54,23.84,12.16,9.66,21.3,5.47,11.53
2018-03-17,,27.18,33.72,37.1,22.04,15.38,9.95,17.9,5.31,13.47
2018-03-18,,49.3,30.32,30.3,19.52,14.86,9.99,15.99,3.66,13.75
2018-03-19,,20.84,37.7,30.49,17.35,14.5,9.1,15.79,4.15,13.34
2018-03-20,,28.44,44.26,30.42,22.3,12.55,8.69,19.97,5.47,13.96
2018-03-21,,28.56,49.85,30.25,20.87,14.27,5.64,16.37,5.71,13.01
2018-03-22,,27.01,42.95,30.32,22.99,11.16,5.64,20.57,4.87,15.35
2018-03-23,,35.85,34.91,30.3,23.52,11.71,5.65,19.85,4.58,15.02
2018-03-24,,28.05,35.84,30.23,25.07,12.93,10.48,17.58,4.23,14.58
2018-03-25,,25.24,37.35,30.33,25.92,13.32,12.83,18.28,5.2,13.53
2018-03-26,,25.31,36.49,30.18,20.6,11.49,13.86,23.62,5.18,10.94
2018-03-27,,24.62,37.92,30.19,18.75,10.91,14.62,30.64,4.77,11.24
2018-03-28,,22.42,37.48,30.14,17.08,7.57,13.1,19.53,4.49,11.8
2018-03-29,,28.69,37.18,30.1,20.47,9.57,11.58,20.63,6.25,11.54
2018-03-30,,24.3,37.57,30.13,20.25,8.17,11.95,19.86,5.94,9.3
2018-03-31,,18.18,42.4,30.15,16.41,7.64,10.05,15.82,5.34,10.49
2018-04-01,,19.7,37.86,30.2,17.57,7.44,10.315,21.56,4.08,7.53
2018-04-02,,30.41,43.29,29.9,14.88,6.55,10.58,24.15,3.87,8.17
2018-04-03,,29.2,45.56,30.06,16.65,7.39,7.88,19.23,4.21,10.88
2018-04-04,,25.19,50.48,30.05,15.22,7.9,8.545,21.97,4.08,12.44
2018-04-05,,29.5,49.53,30.21,14.68,5.99,9.21,21.16,4.47,8.44
2018-04-06,,23.39,43.35,30.28,14.83,9.51,9.33,19.91,4.81,9.17
2018-04-07,,21.23,42.48,30.2,22.05,9.1,9.03,27.39,5.08,10.27
2018-04-08,,20.5,44.48,30.22,21.88,6.97,9.05,35.65,4.97,9.77
2018-04-09,,180.87,44.12,30.16,22.13,8.53,7.14,28.36,4.61,10.54
2018-04-10,,17.58,52.07,30.18,17.63,10.42,6.23,30.81,4.31,9.83
2018-04-11,,39.23,39.88,30.19,16.36,8.84,8.43,25.95,4.63,20.1
2018-04-12,,56.56,33.55,30.16,18.9,11.4,25.24,32.85,3.98,9.06
2018-04-13,,58.65,36.1,30.23,14.74,8.67,4.8,21.54,3.7,8.62
2018-04-14,,54.65,39.49,30.18,14.1,8.92,4.94,21.58,5.17,8.66
2018-04-15,,43.94,40.66,30.13,14.46,10.69,6.1,23.19,3.85,8.32
2018-04-16,,43.78,46.53,30.01,17.51,9.46,6.35,27.59,4.23,7.23
2018-04-17,,36.47,39.2,30.22,13.38,11.95,9.61,23.86,4.07,6.04
2018-04-18,,27.48,33.33,30.16,17.25,10.66,4.14,23.45,3.96,8.37
2018-04-19,,38.75,35.35,30.21,14.75,9.01,6.96,28.08,4.44,6.59
2018-04-20,,25.66,36.14,30.22,14.67,10.93,8.2,25.2,3.72,10.45
2018-04-21,,35.95,31.94,30.27,19.44,9.78,8.02,18.35,3.99,6.3
2018-04-22,,28.55,29.3,30.23,16.81,8.24,8.01,21.84,3.93,5.01
2018-04-23,,26.69,27.09,30.17,15.06,9.9,7.88,22.12,3.85,7.5
2018-04-24,,37.21,32.19,30.0,13.69,11.0,7.81,19.74,3.21,7.8
2018-04-25,,40.34,31.94,30.07,15.82,8.44,7.89,25.05,3.42,6.68
2018-04-26,,54.19,41.32,27.09,13.51,8.56,6.99,22.9,3.41,9.86
2018-04-27,,72.04,51.03,23.0,13.68,11.11,8.01,27.11,3.14,6.78
2018-04-28,,73.01,44.78,23.09,11.79,9.87,8.19,21.43,2.83,5.66
2018-04-29,,82.96,47.69,23.0,12.35,9.38,8.22,11.99,3.24,4.43
2018-04-30,,87.15,49.72,23.05,17.29,10.65,8.19,24.11,3.37,6.12
2018-05-01,,100.02,44.37,23.01,15.39,9.81,7.87,38.78,3.41,5.76
2018-05-02,,77.84,37.69,22.96,15.34,11.65,6.78,25.56,2.91,8.96
2018-05-03,,106.6,38.01,23.01,14.98,7.37,5.24,16.3,3.45,12.76
2018-05-04,,209.32,38.61,23.03,12.8,9.49,5.14,18.38,3.67,12.69
2018-05-05,,125.47,44.85,23.0,11.83,9.26,5.14,18.5,3.76,14.46
2018-05-06,,31.71,44.57,22.94,11.68,7.75,5.13,11.54,3.1,16.23
2018-05-07,,43.43,45.99,23.02,12.24,8.1,5.13,17.04,2.83,18.0
2018-05-08,,69.61,27.14,23.04,17.7,9.69,5.13,20.09,2.92,10.16
2018-05-09,,63.64,43.68,23.06,15.48,8.11,5.13,18.82,2.66,7.77
2018-05-10,,64.97,53.84,23.05,15.07,9.21,5.14,13.08,2.63,9.06
2018-05-11,,50.25,51.67,29.29,13.05,8.95,5.13,14.23,2.9,4.63
2018-05-12,,27.99,65.63,36.26,12.1,10.15,5.13,12.97,3.11,9.19
2018-05-13,,24.47,59.34,36.15,11.93,10.66,5.13,12.29,3.55,7.82
2018-05-14,,29.59,46.61,36.18,12.81,8.05,5.13,11.79,4.38,9.3
2018-05-15,,29.09,49.62,36.16,12.94,9.92,5.13,9.0,3.81,9.67
2018-05-16,,36.46,43.11,36.26,12.94,9.42,5.11,12.65,3.65,9.46
2018-05-17,,33.18,45.08,36.24,16.08,10.0,5.07,11.81,3.32,8.99
2018-05-18,,46.55,54.12,36.16,17.26,11.46,5.04,12.85,3.27,13.54
2018-05-19,,49.08,55.99,36.24,19.61,10.08,5.11,18.77,3.57,10.89
2018-05-20,,32.6,45.4,36.26,12.49,12.33,5.02,19.62,3.65,9.16
2018-05-21,,54.28,41.07,36.26,14.11,9.49,4.99,19.17,1.78,8.48
2018-05-22,,32.11,40.31,36.21,13.64,10.05,5.07,21.62,2.28,9.37
2018-05-23,,39.14,46.95,36.15,14.03,9.4,5.11,21.7,3.99,11.75
2018-05-24,,65.33,51.03,36.22,13.99,10.12,5.1,23.1,4.65,11.52
2018-05-25,,71.63,36.45,36.22,13.05,10.89,5.01,38.58,4.28,10.61
