Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Jaipur,Thiruvananthapuram
12-08-2018,6.96,4.28,9.09,5.97,6.15,10.84,7.26,4.93
13-08-2018,5.96,6.47,9.26,7.42,6.65,15.98,7.17,5.75
14-08-2018,6.34,6.16,9.86,8.37,7.29,24.07,9.28,5.72
15-08-2018,6.35,4.58,8.85,9.32,10.13,23.49,11.23,6.13
16-08-2018,5.58,10.58,10.43,9.56,5.69,22.72,10.39,5.77
17-08-2018,5.76,15.97,9.26,9.14,7.17,18.95,8.93,4.56
18-08-2018,6.76,14.94,10.05,9.14,8,25.63,10.47,5.12
19-08-2018,6.44,15.14,11.4,8.68,6.84,23.94,10.13,5.57
20-08-2018,6.65,14.29,10.88,8.31,5.98,27.3,9.34,5.11
21-08-2018,5.95,15.09,11.99,7.8,6.73,26.1,10.09,6.39
22-08-2018,6.92,14.35,11.43,7.46,8.08,23.52,10.06,5.51
23-08-2018,7.32,14.77,10.82,7.19,8.73,24.58,10.24,6.5
24-08-2018,7.81,11.98,10.4,7.6,8.55,25.58,8.77,6.51
25-08-2018,7.61,13.19,10.9,12.86,7.55,24.18,9,5.95
26-08-2018,7.07,14.06,10.31,11.13,7.85,24.33,8.74,5.47
27-08-2018,7.09,12.04,10.82,10.8,7.61,23.76,9.08,6.19
28-08-2018,6.5,12.49,10.84,4.62,6.97,25.61,10.98,5.38
29-08-2018,6.94,11.59,10.23,5.17,8.39,25.03,11.17,6.49
30-08-2018,7.56,10.61,9.97,5.59,8.85,25.23,9.56,6.38
31-08-2018,7.34,13.07,9.67,6.26,7.13,25.04,11.33,6.35
01-09-2018,7.25,12.61,10.53,5.61,8.74,23.2,11.67,5.98
02-09-2018,8.3,13.98,9.81,5.03,6.4,22.43,11.05,6.07
03-09-2018,8.66,14.76,9.96,5.27,7.13,23.72,10.92,6.02
04-09-2018,8.63,12.8,10.8,6.44,7.74,25.16,11.25,5.56
05-09-2018,7.69,9.42,9.62,6.08,8.05,20.93,11.59,5.48
06-09-2018,8.53,6.19,10.13,6.34,7.84,22.95,11.5,6.72
07-09-2018,8.27,8.08,10.75,4.85,7.79,24.32,11.4,6
08-09-2018,7.58,14.86,11.38,5,9.3,25.23,10.5,5.5
09-09-2018,7.65,7.37,10.98,4.78,8.8,24.14,7.8,6.82
10-09-2018,7.71,5.85,11.21,4.54,7.75,19.69,8.4,8.14
11-09-2018,6.95,5.71,9.77,4.62,6.42,31.92,9.8,5.19
