Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Amritsar,Jaipur,Thiruvananthapuram
04-02-2018,32.25,17.68,46.74,32.99,41.49,121.91,22.13,70.81,24.31,12.04
05-02-2018,32.53,20.26,63.42,34.06,43.96,51.45,14.39,57.73,25.7,12.09
06-02-2018,29.05,23.45,56.51,28.92,58.09,33.34,14.59,49.52,21.31,11.41
07-02-2018,30.04,19.56,54.53,35.64,72.8,28.87,13.9,42.42,21.3,11.18
08-02-2018,45.34,20.56,74.83,36.42,59.37,25.44,14.57,49.05,25.11,14.71
09-02-2018,43.01,18.92,74.5,34.68,55.81,24.45,14.73,49.28,21.12,15.58
10-02-2018,39.51,20.61,99.06,38.79,53.5,21.58,15.16,61.48,17.46,12.29
11-02-2018,23.84,17.7,62.4,56.72,28.9,21.11,13.5,48.94,14.99,20.97
12-02-2018,24.85,16.23,33.08,37.19,20.55,28.34,18.77,35.24,19.03,21.56
13-02-2018,17.2,19.55,46.48,33.81,31.98,25.05,19.12,28.35,28.36,19.57
14-02-2018,17.59,22.9,34.92,24.51,44.77,22.2,40.25,33.5,27.64,18.51
15-02-2018,18.7,21.91,38.54,25.39,48.93,20.64,60.78,33.41,28.2,20.75
16-02-2018,30.03,16.26,48.33,21.43,51.24,22.42,47.41,30.42,33.56,20.96
17-02-2018,37.85,13.41,49.9,26.73,60.23,49.33,48.66,9.04,44.05,18.84
18-02-2018,22.89,15.41,50.94,36.45,58.63,50.97,45.69,11.58,39.2,14.43
19-02-2018,26.23,14.05,71.76,37.62,44.16,27.98,27.81,13.27,41.52,19.02
20-02-2018,22.48,15.79,68.29,41.48,41.75,53.98,29.35,13.13,64.87,19.72
21-02-2018,32.97,14.74,92.54,50.36,46.91,37.18,30.89,9.71,60.04,20.39
22-02-2018,39.61,14.41,66.4,48.38,49.21,24.31,32.43,10.2,48.54,17.82
23-02-2018,31.9,13.99,70.77,55.31,48,16.69,33.97,13.52,48.56,20.09
24-02-2018,19.98,12.06,62.66,54.01,43.62,15.04,35.52,10.8,49.15,18.48
25-02-2018,14.46,11.05,42.88,31.02,51.65,12.49,37.06,8.335,37.71,17.06
26-02-2018,27.46,12.98,33.59,19.72,65.82,10.87,38.6,5.87,43.16,15.64
27-02-2018,26.31,15.12,43.12,25.24,67.65,12.2,40.14,9.93,39.9,15.34
28-02-2018,32.9,15.61,52.5,28.14,70.43,11.46,41.68,9.32,39.98,16.4
01-03-2018,27.41,11.85,51.74,26.97,65.26,43.3,43.22,9.46,34.24,15.53
02-03-2018,38.24,11.84,50.64,21.7,56.01,30.15,49.83,7.56,38.45,13.31
03-03-2018,36.26,12.93,41.07,20.46,45.04,12.22,45.8,8.99,50.57,13.26
04-03-2018,24.85,13.37,39.02,25.72,49.19,15.2,41.31,9.64,45.56,13.21
05-03-2018,34.44,10.82,39.58,20.32,45.37,12.81,43.05,6.09,39.92,13.94
06-03-2018,32.76,12.83,37.92,21.47,38.91,12.89,47.72,4.86,47.97,13.27
07-03-2018,25.14,16.63,45.6,28.95,43.04,14.36,49.61,9.45,51.18,14.89
08-03-2018,27.15,22.6,79.5,44.32,49.93,15.37,46.74,10.5,43.17,15.59
09-03-2018,47.26,16.09,65.86,33.39,52.67,15.68,46.58,9.14,39.37,11.94
10-03-2018,37.1,16.87,39.85,26.41,49.74,10.91,45.04,9.03,38.12,15.05
11-03-2018,22.32,15.41,41.81,28.51,35.56,11.26,52.91,9.54,42.62,16.69
12-03-2018,17.43,14.81,45.32,29.11,40.44,64.69,46.3,8.7,47.37,15.94
13-03-2018,14.01,12.19,56.5,31.03,41.84,133.91,45.01,8,47.85,15.51
14-03-2018,16.94,15.1,64.82,58.62,45.05,136.34,49.8,8.52,41.97,11.66
15-03-2018,22.08,17.35,48.86,50.15,37.4,91.67,41.28,6.89,42.68,8.65
16-03-2018,28.79,17.5,41.48,32.71,39.37,60.8,44.67,13.74,36.64,8.18
17-03-2018,27.98,21.89,32.61,33.09,33.36,35.51,50.49,14.15,37.36,11.64
18-03-2018,16.69,18.04,31.72,28.74,32.85,26.89,36.15,15.46,34.5,13.71
19-03-2018,24.94,18.55,43.85,34.84,41.03,59.86,34.26,14.56,29.87,13.36
20-03-2018,35.38,17.18,55.71,35.27,47.03,57.93,36.81,12.76,39.72,15.58
21-03-2018,31.97,19.74,45.33,56.86,45.49,25.52,37.25,4.88,34.22,13.82
22-03-2018,50.97,18.66,33.49,36.65,52.52,24.01,40.39,4.94,29.2,9.81
23-03-2018,62.66,17.43,34.53,28.72,58.35,19.49,45.21,4.88,29.49,9.99
24-03-2018,27.94,13.95,37.32,31.61,63.27,13.32,44.52,11.11,38.26,12.55
25-03-2018,27.43,11.45,34.66,27.88,49.1,13.55,48.32,13.02,40.11,13.53
26-03-2018,35.66,17.56,41.2,31.96,39.51,19.36,46.26,14.09,48.03,16.65
27-03-2018,34.2,19.36,60.75,34.22,44.63,16.42,37.89,12.94,53,14.58
28-03-2018,39.985,20.71,71.04,54.89,40.84,13.69,38.23,11.72,34.58,14.6
29-03-2018,45.77,21.13,41.56,42.21,48.19,17.46,22.82,13.6,34.81,14.14
30-03-2018,25.98,17.4,45.84,49.41,40.32,11.04,21.1,10.03,35.24,8.64
31-03-2018,24.6,17.85,44.76,47.7,41.99,39.14,19.05,6.46,28.65,10.19
01-04-2018,22.45,18.58,37.97,81.53,31.47,47.12,19.5,8.85,26.69,9.95
02-04-2018,26.81,21.64,48.52,46.42,38.98,44.77,21.92,6.95,29.31,8.04
03-04-2018,40.15,18.82,51.63,82.93,40.96,41.75,18.88,6.36,33.62,11.49
04-04-2018,35.38,22.47,52.51,60.3,39.39,28.06,19.24,2.24,37.81,13.51
05-04-2018,33.5,19.4,60.24,51.18,36.55,19.65,20.31,16.91,35.89,10.07
06-04-2018,37.46,23.13,44.92,48.9,42.39,15.87,20.93,17.53,24.82,12.99
07-04-2018,28.66,18.76,36.94,43.15,50.76,13.98,19.17,17.85,34.27,11.27
08-04-2018,24.25,16.5,34.29,58.47,35.94,15.41,17.28,17.43,22.81,8.42
09-04-2018,23.57,18.95,39.45,53.26,41.16,15.03,16.65,11.57,25.52,9.04
10-04-2018,29.63,15.68,45.16,49.71,38.69,12.71,17.64,2.45,28.91,10.9
