Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Visakhapatnam,Jaipur,Thiruvananthapuram
21-03-2018,3.75,10.89,30.35,28.28,3.95,12.25,23.4,14.38,10.23,1.66
22-03-2018,19.92,9.84,13.53,15.33,8.9,11.47,16.7,10.31,8.89,1.73
23-03-2018,27.3,7.37,14.86,9.55,13.11,11.21,11.11,5.8,7.92,1.67
24-03-2018,4.06,6.43,15.2,9.83,12.22,5.78,14.28,4.25,8.93,1.68
25-03-2018,4.49,8.23,11.77,9.69,5.3,5.99,10.07,4.34,9.43,1.66
26-03-2018,6.77,8.72,19.04,10.28,3.49,8.02,13.27,7.66,20.9,1.72
27-03-2018,7.68,9.44,42.38,9.32,3.6,11.29,22.28,12.51,37.87,1.63
28-03-2018,6.995,8.95,55.87,38.15,3.09,14.26,27.51,9.91,10.75,1.75
29-03-2018,6.31,6.89,17.1,28.96,4.41,12.09,37.18,5.33,15.38,1.77
30-03-2018,3.64,6.77,21.45,21.95,2.56,5.35,37.27,5.43,11.89,1.74
31-03-2018,3.67,9.23,25.6,12.88,3.36,14.68,36.03,7.62,5.7,1.71
01-04-2018,3.56,11.31,15.98,36.46,3.18,8.81,31.51,9.2,5.06,1.72
02-04-2018,5.94,9.46,26.07,36.52,6.94,8.95,33.14,3.33,19.34,1.77
03-04-2018,9.49,10.86,27.42,37.18,4.2,9.52,33.06,6.84,9.79,1.66
04-04-2018,5.83,11.83,32.79,23.57,4.18,6.18,35.92,5.35,18.11,1.68
05-04-2018,5.13,10.79,43.18,16.5,4.05,7.07,30.36,6.35,10.44,1.64
06-04-2018,7.27,12.02,25.66,13.93,4.94,6.9,30.8,9.74,7.97,1.8
07-04-2018,4.89,15.42,18.92,16.1,7.78,6.53,33,8.42,8.9,1.72
08-04-2018,4.36,19.95,13.22,19.15,4.55,6.25,38.29,2.35,7.89,1.67
09-04-2018,5.04,29.11,24.07,19.02,9.17,8.49,40.93,14.78,7.39,1.7
10-04-2018,6.41,16.07,35.24,23.43,6.05,7.13,37.13,10.02,7.64,1.94
11-04-2018,4.66,16.23,16.25,15.84,5,8.48,39.11,11.05,6.42,2.67
12-04-2018,5.74,13.48,20.89,13.82,5.41,10.35,37.97,10.22,6.25,3.44
13-04-2018,5.8,16.32,34.37,12.69,4.14,13.36,34.05,13.24,9.52,2.63
14-04-2018,4.67,14.1,42.69,12.39,3.65,26.31,30.68,11.59,7.93,2.73
15-04-2018,3.99,11.42,49,20.18,4.63,11.68,35.74,10.17,8.38,2.78
16-04-2018,5.41,12.67,51.52,45.67,8.95,8.23,34.18,10,8.44,2.76
17-04-2018,7.83,15.33,35.67,21.96,4.8,10.19,41.45,11.53,8.54,2.73
18-04-2018,6.2,14.92,16.91,10.7,5.22,9.15,34.70166667,17.02,8.65,2.77
19-04-2018,4.34,13.64,27.08,15.85,11.25,7.9,27.95333333,9.19,11.68,2.79
20-04-2018,8.43,12.44,20.62,42.73,14.73,6.68,21.205,9.87,11.43,2.67
21-04-2018,7.43,13.86,9.64,12.07,14.17,10.26,14.45666667,6.69,8.17,2.67
22-04-2018,3.64,10.76,9.34,10.26,4.45,10.35,7.708333333,12.65,8.24,2.64
23-04-2018,4.23,11.23,17.48,11.31,2.99,7.04,0.96,10.33,4.74,2.64
24-04-2018,6.45,15.66,27.8,25.03,3.63,14.44,0.75,8.02,15.07,2.76
25-04-2018,9.48,58.08,46.07,60.82,2.81,18.06,74.38,11.32,20.38,2.81
26-04-2018,3.29,38.85,44.46,16.72,3.23,14.48,22.24,12.77,11.2,2.76
27-04-2018,2.79,11.77,22.69,19.83,3.35,14.85,3.43,7.04,7.31,2.85
28-04-2018,3.52,12.69,11.33,21.65,2.74,13.23,5.115,7.84,12.69,2.71
29-04-2018,3.55,12.09,13.32,20.28,3.02,10.41,6.8,9.11,8.52,2.84
30-04-2018,3.4,12.94,21.81,19.61,7.3,11.64,12.25,9.24,6.75,2.91
01-05-2018,3,22.85,11.11,19.27,2.21,11.77,13.16,5.99,7.73,2.94
02-05-2018,3.54,19,14.43,19.68,5.67,10.65,12.59,15.55,9.47,2.82
03-05-2018,5.02,14.72,15.63,21.77,3.83,12.03,13.65,16.82,8.07,2.82
04-05-2018,3.72,38.8,11.61,24.68,4.72,23.26,13.16,8.05,9.04,2.78
05-05-2018,3.63,32.13,23.26,22.57,2.77,13.65,12.3,9.84,12.38,2.98
06-05-2018,3.35,19.12,42.39,21.92,2.73,11.57,13.15,10.29,10.71,2.86
07-05-2018,28.39,17.33,42.33,27.74,2.68,17.25,11.4,12.23,13.16,2.87
08-05-2018,4.95,20.71,10.01,48.83,4.18,21.05,11.44,8.49,12.76,2.89
09-05-2018,3.82,26.57,19.68,18.98,3.44,27.1,14.05,9.64,10.03,2.9
10-05-2018,6.84,15.24,28.94,23.44,3.68,21.51,15.81,12.86,12.6,2.79
11-05-2018,7.84,12.7,35.51,22.58,2.6,8,16.23,6.29,13.33,2.97
