Date,Bengaluru,Delhi,Hyderabad,Jaipur,Thiruvananthapuram
11-01-2019,111.13,432.2,143.85,109.93,99.11
12-01-2019,121.91,465.89,146,148.73,102.28
13-01-2019,99.59,403.32,120.93,151.52,95.19
14-01-2019,110.39,173.94,132.9,118.65,110.44
15-01-2019,86.88,229.1,145.13,144.21,105.47
16-01-2019,99.49,424.07,150.46,145.41,116.02
17-01-2019,120.55,519.49,156.89,174.82,97.88
18-01-2019,118.41,364.61,154.77,199.04,118.3
19-01-2019,102.34,402.21,159.37,204.21,112.76
20-01-2019,82.67,478.43,148.16,139.62,120.86
21-01-2019,99.24,289.4,129.97,136.56,114.98
22-01-2019,136.15,72.61,93.9,84.68,95.33
23-01-2019,121.85,211.71,106.81,104.94,107.83
24-01-2019,109.76,218.93,112.52,120.1,108.97
25-01-2019,87.96,136.43,80.89,128.72,90.38
26-01-2019,101.59,169.32,62.98,89.54,81.14
27-01-2019,87.62,217.45,74.22,94.5,72.21
28-01-2019,73.19,212.42,104.9,115.61,72.15
29-01-2019,62.01,235.85,114.66,109.38,59.82
30-01-2019,92.31,334.21,118.88,116.55,67.14
31-01-2019,94.63,335.07,121.95,90.54,65.93
01-02-2019,99.62,265.65,115.34,127.06,71.48
02-02-2019,96.87,266.3,117.17,126.12,79.06
03-02-2019,87.56,209.41,107.15,136.68,64.31
04-02-2019,70.95,248.49,115.35,122.01,74.89
05-02-2019,82.59,408.32,120.36,132.47,69.57
06-02-2019,115.27,270.92,130.57,116.91,57.39
07-02-2019,117.29,107.83,110.45,138.74,72.17
08-02-2019,108.3,156.6,133.58,130.76,85.64
09-02-2019,123.42,165.94,157.47,114.07,85.04
10-02-2019,93.13,255.47,162.47,119.98,59.82
11-02-2019,78.53,304.98,119.01,103.34,60.12
12-02-2019,88.06,357.36,119.19,103.97,64.67
13-02-2019,92.86,336.99,137.41,100.35,73.93
14-02-2019,84.87,237.08,128.51,93.74,82.9
15-02-2019,92.27,194.76,86.91,112.12,78.98
16-02-2019,98.49,181.64,103.18,79.48,65.73
17-02-2019,108.7,180.93,94.43,98.3,64.89
18-02-2019,104.51,215.05,136.33,125.28,61.82
19-02-2019,98.5,229.75,113.45,152.36,57.21
20-02-2019,79.97,185.4,79.95,105.01,67.65
21-02-2019,92.9,178.07,89.56,110.79,50.94
22-02-2019,101.4,147.86,107.69,85.23,54.29
23-02-2019,113.03,115.07,133.36,77.06,60.73
24-02-2019,97.06,161.89,104.32,97.62,58.6
25-02-2019,96.15,172.59,119.44,99.75,68.04
26-02-2019,101.91,120.3,136.81,86.36,68.32
27-02-2019,94.03,91.52,126.1,90.05,67.47
28-02-2019,111.32,180.46,127.96,82.02,74.96
01-03-2019,125.3,181.26,129.12,93.01,88.46
02-03-2019,95.38,182.54,72.5,95.81,68.2
03-03-2019,92.75,105.16,68.92,92.74,63.12
04-03-2019,100.96,180.84,95.61,104.75,69.4
05-03-2019,112.83,135.4,160.94,76.61,58.71
06-03-2019,116.45,168.32,160.54,88.21,67.2
07-03-2019,158.87,212.7,166.23,98.3,178.24
08-03-2019,141.49,199.28,154.68,86.8,126.39
09-03-2019,114.17,162.18,118.38,109.92,86.59
10-03-2019,85.59,163.8,108.68,78.2,60.76
11-03-2019,79.55,205.43,95.23,106.43,70.94
12-03-2019,108.89,129.4,105.87,113.73,72.46
13-03-2019,120.17,231.19,112.41,112.89,96.27
14-03-2019,116.74,217.74,110.33,103.28,87.99
15-03-2019,110.46,144.35,121.89,69.78,85.38
16-03-2019,118.8,140.6,110,97.93,88.36
17-03-2019,104.35,184.01,95.18,90.2,87.18
18-03-2019,99.47,202.01,102.44,88.88,72.39
19-03-2019,94.23,227.07,74.26,95.8,65.23
20-03-2019,91.98,237.61,94.54,113.06,62.21
21-03-2019,94.78,197.17,90.51,120.22,59.9
22-03-2019,96.39,119.87,86.97,94.58,61.19
23-03-2019,102.51,138.56,111.13,87.27,64.78
24-03-2019,93.06,133.47,118.89,116.74,59.02
25-03-2019,105.51,150.34,117.86,109.51,65.3
26-03-2019,112.26,169.16,123.44,78.85,67.23
27-03-2019,121.14,186.49,115.06,93.5,67.02
28-03-2019,129.96,260.26,136.99,110.43,75.77
29-03-2019,129.31,257.27,146.25,134.35,75.12
30-03-2019,123.2,238.99,140.7,125.59,85.28
31-03-2019,107.85,177.53,137.92,121.18,81.64
01-04-2019,110.5,170.14,115.93,96.36,79.24
02-04-2019,123.38,211.47,119.4,93.61,82.12
03-04-2019,120.13,206.04,116.3,106.73,81.81
04-04-2019,108.63,270.77,104.02,113.56,50.68
05-04-2019,108.25,281.53,84.24,162.11,44.72
06-04-2019,112.08,303.71,80.2,135.7,50.03
07-04-2019,103.64,355.22,79.56,224.38,66.82
08-04-2019,94.86,280.23,85.8,473.02,71.05
09-04-2019,90.8,225.5,99.2,161.64,67.66
10-04-2019,107.04,247.53,105.98,149.74,62.29
11-04-2019,113.7,204.19,73.52,157.93,59.77
12-04-2019,109,217,98.89,368.18,65.59
13-04-2019,98.37,175.93,82.36,129.76,60.17
14-04-2019,89.76,168.11,102.32,116.91,60.55
15-04-2019,92.14,187.59,97.74,183.47,54.56
16-04-2019,94.39,186.75,111.85,132.07,51.86
17-04-2019,97.64,62.49,87.34,48.73,56.55
18-04-2019,72.34,91.55,109.83,61.5,44.77
19-04-2019,63.83,155.39,67.2,83.64,42.03
20-04-2019,73.46,193.76,60.36,84.96,32.47
