Date,Bengaluru,Delhi,Hyderabad
2016-05-14,22.026666666666667,52.87,30.57
2016-05-15,20.993333333333336,46.77,28.73
2016-05-16,19.96,31.0,27.59
2016-05-17,11.28,29.12,31.26
2016-05-18,36.19,26.39,29.08
2016-05-19,7.22,43.64,26.92
2016-05-20,7.84,57.83,39.66
2016-05-21,8.66,55.28,34.21
2016-05-22,9.56,46.09,22.35
2016-05-23,9.71,40.22,20.06
2016-05-24,10.37,36.69,20.42
2016-05-25,24.05,48.53,20.86
2016-05-26,21.54,42.29,21.38
2016-05-27,21.52,43.19,18.67
2016-05-28,21.36,29.71,19.2
2016-05-29,17.98,30.46,18.94
2016-05-30,30.8,39.34,
2016-05-31,56.94,47.17,
2016-06-01,75.14,37.91,
2016-06-02,29.71,37.86,
2016-06-03,,44.94,
2016-06-04,,47.59,
2016-06-05,,51.64,
2016-06-06,,35.52,
2016-06-07,,33.33,
2016-06-08,,32.67,
2016-06-09,,35.28,
2016-06-10,,30.18,
2016-06-11,,37.83,
2016-06-12,,33.33,
2016-06-13,,34.24,
2016-06-14,,38.65,
2016-06-15,,42.47,
2016-06-16,,34.5,
2016-06-17,38.77,32.53,
2016-06-18,34.41,33.32,
2016-06-19,31.78,34.93,
2016-06-20,37.12,34.93,
2016-06-21,36.79,35.69,
2016-06-22,32.55,31.53,
2016-06-23,32.35,28.31,
2016-06-24,30.59,33.1,
2016-06-25,34.79666666666667,43.4,
2016-06-26,39.00333333333333,39.05,
2016-06-27,43.21,39.39,
2016-06-28,45.56,35.05,
2016-06-29,44.18,33.03,
2016-06-30,37.66,31.42,
2016-07-01,41.94,42.08,
2016-07-02,35.09,36.91,
2016-07-03,29.15,35.43,
2016-07-04,32.37,35.38,
2016-07-05,31.94,42.46,
2016-07-06,32.42,52.72,
2016-07-07,35.53,37.18,
2016-07-08,28.85,40.9,
2016-07-09,28.08,40.31,
2016-07-10,25.57,37.92,
2016-07-11,24.14,38.15,
2016-07-12,17.58,33.66,
2016-07-13,14.47,43.92,
2016-07-14,18.34,61.03,
