Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Gurugram
2015-09-14,12.68,22.54,79.29,11.49,34.11,
2015-09-15,5.72,22.76,75.63,20.31,25.88,
2015-09-16,14.33,20.48,69.61,34.96,31.05,
2015-09-17,10.45,22.81,85.86,38.06,24.33,
2015-09-18,21.33,22.77,48.8,58.73,18.64,
2015-09-19,10.94,34.03,51.78,59.26,11.03,
2015-09-20,11.51,32.15,58.49,30.49,12.98,
2015-09-21,15.34,30.29,48.02,13.21,16.22,
2015-09-22,20.63,26.91,39.83,14.26,18.37,
2015-09-23,21.96,19.27,37.26,18.51,18.29,
2015-09-24,16.37,15.36,48.78,31.76,22.66,
2015-09-25,49.22,19.24,53.1,32.62,21.64,
2015-09-26,9.51,47.29,54.87,32.05,16.89,
2015-09-27,12.01,52.35,68.69,32.05,24.23,
2015-09-28,18.48,41.98,53.82,31.91,26.14,
2015-09-29,20.18,31.31,54.68,31.63,20.63,
2015-09-30,14.05,33.91,52.91,36.79,20.48,
2015-10-01,12.61,22.96,60.57,40.12,15.85,
2015-10-02,15.795,22.74,64.01,40.06,17.4,
2015-10-03,18.98,21.73,47.52,36.79,19.16,
2015-10-04,12.67,31.57,44.92,34.11,21.98,
2015-10-05,10.81,32.14,45.8,42.54,33.52,
2015-10-06,15.74,30.89,42.22,47.45,32.21,
2015-10-07,11.29,28.49,49.32,46.48,35.73,
2015-10-08,12.96,32.23,66.62,36.18,35.25,
2015-10-09,14.01,25.16,63.16,45.53,36.15,
2015-10-10,10.22,23.29,58.24,36.33,33.97,
2015-10-11,9.49,21.22,62.02,39.51,37.06,
2015-10-12,8.84,25.34,65.55,31.79,32.81,
2015-10-13,9.81,23.67,73.28,49.76,31.12,
2015-10-14,11.44,26.13,67.89,48.78,33.14,
2015-10-15,11.97,23.01,77.91,46.97,40.38,
2015-10-16,11.33,24.94,84.74,40.67,35.3,
2015-10-17,13.38,31.38,44.21,52.04,33.41,
2015-10-18,8.33,20.22,71.1,71.97,33.85,
2015-10-19,6.43,18.08,92.96,67.42,32.63,
2015-10-20,13.06,17.91,101.74,69.65,29.83,
2015-10-21,14.4,19.12,79.5,63.32,30.27,
2015-10-22,33.92,24.82,48.74,61.79,35.23,
2015-10-23,42.29,20.24,69.55,54.26,34.78,
2015-10-24,41.37,28.69,47.92,69.01,44.17,
2015-10-25,43.11,56.16,65.83,51.08,51.97,
2015-10-26,32.67,57.43,85.73,56.56,48.38,
2015-10-27,32.4,59.47,63.88,42.39,49.97,
2015-10-28,26.35,60.46,71.98,20.85,44.62,
2015-10-29,15.59,47.37,73.26,26.72,31.4,
2015-10-30,17.27,44.29,60.56,32.81,38.74,
2015-10-31,14.45,42.18,42.32,36.74,43.41,
2015-11-01,11.56,50.33,84.99,38.51,37.57,
2015-11-02,12.65,61.39,136.67,41.41,38.74,
2015-11-03,11.62,44.1,99.91,45.5,29.23,
2015-11-04,19.13,39.61,114.43,53.97,32.02,
2015-11-05,10.93,27.51,75.71,51.48,36.49,
2015-11-06,8.07,32.31,69.95,37.04,36.11,
2015-11-07,17.98,43.44,107.69,40.66,32.53,
2015-11-08,23.72,50.61,103.4,41.52,47.35,
2015-11-09,32.86,56.36,108.12,45.57,40.12,
2015-11-10,41.66,92.04,115.45,44.27,32.42,
2015-11-11,23.3,64.95,89.58,55.03,38.48,
2015-11-12,18.98,43.68,75.26,65.32,34.67,
2015-11-13,34.32,64.42,101.14,66.83,29.49,
2015-11-14,31.35,69.77,90.08,61.83,33.99,
2015-11-15,34.8,58.57,101.15,63.49,33.14,
2015-11-16,35.48,65.97,94.79,50.15,32.91,
2015-11-17,26.98,70.3,71.44,42.69,31.61,
2015-11-18,18.48,58.16,86.88,55.94,30.33,
2015-11-19,9.98,32.87,101.68,44.63,38.1,
2015-11-20,4.56,28.91,124.74,51.15,21.91,
2015-11-21,4.403333333333333,42.39,114.3,49.03,33.12,
2015-11-22,4.246666666666667,48.21,116.29,47.17,43.03,
2015-11-23,4.09,50.22,132.26,43.9,40.99,
2015-11-24,7.77,43.05,113.35,29.16,36.46,
2015-11-25,14.63,48.89,81.11,37.37,26.89,
2015-11-26,14.8,65.25,93.71,26.6,25.38,
2015-11-27,25.57,53.11,90.46,28.0,33.04,5.96
2015-11-28,29.1,57.22,70.51,44.59,39.42,8.13
2015-11-29,29.03,61.76,67.97,39.68,46.11,16.52
2015-11-30,8.84,56.35,131.34,39.11,31.7,6.29
2015-12-01,9.89,49.71,93.52,35.2,28.27,10.5
2015-12-02,8.15,43.19,88.0,20.36,21.04,10.1
2015-12-03,9.51,35.62,86.19,45.18,28.81,8.75
2015-12-04,21.38,31.485,88.93,50.81,31.38,16.09
2015-12-05,26.44,27.35,129.79,44.22,24.0,19.52
2015-12-06,43.98,23.215000000000003,122.22,43.58,29.85,22.61
2015-12-07,27.26,19.08,103.29,36.68,24.41,25.7
2015-12-08,19.1,32.87,139.79,45.27,28.54,25.28
2015-12-09,6.32,34.14,131.99,47.33,29.88,14.06
2015-12-10,3.36,36.71,123.11,52.64,29.88,1.97
2015-12-11,2.3,36.39,119.41,39.65,20.59,15.02
2015-12-12,2.33,36.2,122.43,36.36,24.96,2.86
2015-12-13,2.16,45.23,101.58,41.23,31.37,16.89
2015-12-14,1.87,36.62,79.22,41.6,31.66,30.92
2015-12-15,1.83,44.62,25.23,48.63,32.98,21.46
2015-12-16,6.68,22.53,38.16,55.09,30.43,15.37
2015-12-17,17.03,34.27,29.89,49.4,28.24,16.426
2015-12-18,17.28,30.28,20.82,41.62,27.24,17.482
2015-12-19,17.37,20.24,33.06,53.82,22.6,18.538
2015-12-20,20.05,29.24,20.58,55.72,27.92,19.594
2015-12-21,21.95,27.77,20.57,55.87,28.87,20.65
2015-12-22,20.0,36.75,57.16,56.99,31.1,1.24
2015-12-23,24.06,59.97,111.69,46.88,30.15,14.1
2015-12-24,36.04,12.16,32.42,40.87,52.28,1.55
2015-12-25,40.78,12.69,75.29,48.63,72.53,14.64
2015-12-26,41.39,23.4,88.64,54.57,83.35,13.92
2015-12-27,59.62,39.39,98.88,44.31,61.51,14.77
2015-12-28,59.5,37.11,85.96,48.38,30.85,16.97
2015-12-29,31.55,13.33,82.69,50.53,23.09,19.21
2015-12-30,31.0,21.97,94.75,51.92,22.94,21.88
2015-12-31,36.94,25.77,87.26,50.82,25.9,28.88
2016-01-01,55.96,34.57,108.14,38.97,27.64,27.4
2016-01-02,34.06,33.66,90.45,40.81,38.01,1.25
2016-01-03,47.62,32.75,97.03,50.04,35.08,13.135
2016-01-04,50.62,31.84,91.2,61.74,34.33,25.02
