Date,DL002,DL031,KA009
2016-01-09,76.97,62.63,21.32
2016-01-10,90.76,60.73,11.01
2016-01-11,110.92,70.62,10.72
2016-01-12,109.08,65.47,12.27
2016-01-13,99.19,81.86,12.06
2016-01-14,88.41,61.25,19.63
2016-01-15,76.86,52.59,17.869999999999997
2016-01-16,62.5,44.62,16.11
2016-01-17,57.28,47.65,10.83
2016-01-18,77.38,62.66,16.09
2016-01-19,79.1,62.43,20.9
2016-01-20,64.33,50.69,28.94
2016-01-21,53.2,43.28,43.57
2016-01-22,63.16,62.63,26.58
2016-01-23,78.57,72.75,16.27
2016-01-24,95.565,61.83,14.08
2016-01-25,112.56,44.12,19.55
2016-01-26,89.15,62.84,17.79
2016-01-27,94.94,64.81,20.6
2016-01-28,90.09,69.62,53.81
2016-01-29,108.08,79.27,22.43
2016-01-30,122.45,85.97,20.22
2016-01-31,100.995,62.1,33.27
2016-02-01,79.54,44.58,30.23
2016-02-02,58.08500000000001,40.07,27.39
2016-02-03,36.63,35.47,23.28
2016-02-04,34.62,37.1,22.79
2016-02-05,44.89,48.03,21.72
2016-02-06,71.38,51.11,19.25
2016-02-07,73.06,51.97,19.97
2016-02-08,60.6,44.15,18.87
2016-02-09,66.16,44.98,20.89
2016-02-10,82.76,42.22,20.63
2016-02-11,76.72,36.07,17.12
2016-02-12,61.91,36.87,19.85
2016-02-13,49.8,40.23,17.34
2016-02-14,46.79,37.4,15.09
2016-02-15,47.97,36.62,40.86
2016-02-16,41.05,34.16,27.19
2016-02-17,46.69,40.21,24.05
2016-02-18,75.6,59.23,24.9
2016-02-19,97.64,64.55,25.75
2016-02-20,115.23,88.49,29.92
2016-02-21,41.14,44.63,29.87
2016-02-22,35.71,30.38,29.34
2016-02-23,48.485,29.99,30.6
2016-02-24,61.26,38.0,28.79
2016-02-25,65.23,34.92,27.07
2016-02-26,67.41,26.99,24.1
2016-02-27,69.59,51.95,5.47
2016-02-28,71.77000000000001,55.91,4.09
2016-02-29,73.95,56.05,3.83
2016-03-01,87.73,55.98,13.53
2016-03-02,74.24,52.63,22.47
2016-03-03,77.1,50.43,22.73
2016-03-04,86.73,45.04,21.95
2016-03-05,85.32,31.51,23.49
2016-03-06,83.91,41.63,23.84
2016-03-07,71.04,53.99,23.77
2016-03-08,51.27,44.36,23.93
2016-03-09,47.51,35.91,33.25
2016-03-10,64.9,43.19,31.23
2016-03-11,,31.1,33.7
2016-03-12,,29.55333333333333,26.04
2016-03-13,,28.006666666666668,21.27
2016-03-14,,26.46,23.37
2016-03-15,,38.24,24.7
2016-03-16,38.89,27.62,36.52
2016-03-17,44.19,30.45,29.15
2016-03-18,54.37333333333333,35.89,26.55
2016-03-19,64.55666666666666,46.65,29.65
2016-03-20,74.74,55.7,27.35
2016-03-21,46.27,30.54,32.86
2016-03-22,24.01,22.14,32.7
2016-03-23,27.21,28.07,29.53
2016-03-24,60.175,46.45,24.5
2016-03-25,93.14,49.77,22.9
2016-03-26,48.34,38.76,32.86
2016-03-27,39.18,27.98,42.56
2016-03-28,30.02,29.51,50.0
2016-03-29,37.48,30.94,24.05
2016-03-30,41.55,26.78,22.67
2016-03-31,49.99,37.96,23.75
2016-04-01,58.42999999999999,40.696666666666665,23.19
2016-04-02,66.86999999999999,43.43333333333333,29.64
2016-04-03,75.31,46.17,19.18
2016-04-04,73.64,41.42,45.69
2016-04-05,56.365,24.26,22.62
2016-04-06,39.09,29.97,28.88
2016-04-07,58.82,38.51,23.17
2016-04-08,36.54,25.48,19.5
2016-04-09,37.44,31.15,18.87
2016-04-10,42.71,28.47,16.4
2016-04-11,54.86,29.65,20.63
2016-04-12,36.99,25.81,17.27
2016-04-13,31.53,24.24,30.91
2016-04-14,31.65,25.72,25.67
2016-04-15,53.12,32.75,26.03
2016-04-16,50.62,29.2,26.81
2016-04-17,48.12,25.65,24.31
2016-04-18,51.26,27.9,25.84
2016-04-19,45.52,34.26,25.01
2016-04-20,40.26,24.1,25.6
